"URI de la canción","Nombre de la canción","URI(s) del artista","Nombre(s) del artista","URI del álbum","Nombre del álbum","URI(s) del artista del álbum","Nombre(s) del artista del álbum","Fecha de lanzamiento del álbum","URL de la imagen del álbum","Número de disco","Número de la canción","Duración de la canción (ms)","URL de vista previa de la canción","Explícito","Popularidad","ISRC","Añadido por","Añadido en"
"spotify:track:6ucR4KfvsBFWCMVFDvyKKl","Apologize","spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ, spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","Timbaland, OneRepublic","spotify:album:0V7TZQmJBgI81M9Z7GWxCI","Shock Value","spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ","Timbaland","2007-04-02","https://i.scdn.co/image/ab67616d0000b273755a9f1e89ad8e8cf91d4956","1","16","184400","","false","75","USUM70722793","","2026-03-03T11:17:25Z"
"spotify:track:24LS4lQShWyixJ0ZrJXfJ5","Sweet Nothing (feat. Florence Welch)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:0IROOdQ2fQUcoaEPqt1Isg","Calvin Harris, Florence Welch","spotify:album:7w19PFbxAjwZ7UVNp9z0uT","18 Months","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2012-10-29","https://i.scdn.co/image/ab67616d0000b273dcef905cb144d4867119850b","1","10","212560","https://p.scdn.co/mp3-preview/daf8f5e93daa712ee93c2c5b2778fcaa39194dc5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","GBARL1201392","","2026-03-03T11:16:08Z"
"spotify:track:0pqnGHJpmpxLKifKRmU6WP","Believer","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:33pt9HBdGlAbRGBHQgsZsU","Evolve","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2017-06-23","https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a","1","4","204346","","false","87","USUM71700626","","2026-03-03T11:15:31Z"
"spotify:track:0ZQfn5nh2TnVE6Q0AT8eXr","Down","spotify:artist:1xHQO9GJIW9OXHxGBISYc5","Marian Hill","spotify:album:2QTg7XF8hHMHexJLCKsqdA","ACT ONE (The Complete Collection)","spotify:artist:1xHQO9GJIW9OXHxGBISYc5","Marian Hill","2016-06-20","https://i.scdn.co/image/ab67616d0000b273baa831742bd280c18404dd2a","1","1","197773","","false","58","USUM71601627","","2026-03-03T11:15:19Z"
"spotify:track:3hENlPbIlUZXQ3MiosF87Q","Cutting Shapes","spotify:artist:1l2ekx5skC4gJH8djERwh1","Don Diablo","spotify:album:2MhMiuJX4tsAFaQDkzPauF","Past.Present.Future.","spotify:artist:1l2ekx5skC4gJH8djERwh1","Don Diablo","2017-02-06","https://i.scdn.co/image/ab67616d0000b273723857f6d2eb33eced95e951","1","3","179047","https://p.scdn.co/mp3-preview/2ee66f4f0044cbd595d9a074580ccffa25788644?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","NLZ541601041","","2026-03-03T11:14:57Z"
"spotify:track:3qaYuV5XZAwiOvGE91HhwS","Inside the Lines (feat. Casso)","spotify:artist:6lB8vOoI4DRrrVxXwuV19c, spotify:artist:3glG6M6Sm7Zgvms4dFZKbN","Mike Perry, Casso","spotify:album:72KsBUWczf3pwEuurFQOC7","Inside the Lines (feat. Casso)","spotify:artist:6lB8vOoI4DRrrVxXwuV19c","Mike Perry","2016-10-21","https://i.scdn.co/image/ab67616d0000b27350440c31b70f8dc2473a34bc","1","1","204503","https://p.scdn.co/mp3-preview/14354068aa492751410bbf4e76a5be132d1db87d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","SE3AA1600012","","2026-03-03T11:14:46Z"
"spotify:track:6uBhi9gBXWjanegOb2Phh0","Stay","spotify:artist:2qxJFvFYMEDqd7ui6kSAcq, spotify:artist:2wUjUUtkb5lvLKcGKsKqsR","Zedd, Alessia Cara","spotify:album:1I4W7JKzYbl8VKRfD61DIS","Stay","spotify:artist:2qxJFvFYMEDqd7ui6kSAcq, spotify:artist:2wUjUUtkb5lvLKcGKsKqsR","Zedd, Alessia Cara","2017-02-23","https://i.scdn.co/image/ab67616d0000b273b993cba8ff7d0a8e9ee18d46","1","1","210090","","false","77","USUM71700736","","2026-03-03T11:14:12Z"
"spotify:track:3ebXMykcMXOcLeJ9xZ17XH","Scared to Be Lonely","spotify:artist:60d24wfXkVzDSfLS6hyCjZ, spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Martin Garrix, Dua Lipa","spotify:album:2v9rQe4F8fVSh5v8bAq0jF","Scared to Be Lonely","spotify:artist:60d24wfXkVzDSfLS6hyCjZ, spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Martin Garrix, Dua Lipa","2017-01-27","https://i.scdn.co/image/ab67616d0000b2736a1cba0e39d52540add955c6","1","1","220883","https://p.scdn.co/mp3-preview/938d077e56a7b402fb540e62c30ae22d899d2c96?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","NLM5S1600025","","2026-03-03T11:13:52Z"
"spotify:track:2VOomzT6VavJOGBeySqaMc","Disturbia","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","spotify:album:3JSWZWeTHF4HDGt5Eozdy7","Good Girl Gone Bad: Reloaded","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","2008-06-02","https://i.scdn.co/image/ab67616d0000b273f9f27162ab1ed45b8d7a7e98","1","13","238626","","false","83","USUM70814476","","2026-03-02T00:28:48Z"
"spotify:track:1fLlRApgzxWweF1JTf8yM5","Given Up","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","spotify:album:2tlTBLz2w52rpGCLBGyGw6","Minutes to Midnight","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","2007-05-14","https://i.scdn.co/image/ab67616d0000b2736e996745f2c7b8036abef213","1","2","189293","https://p.scdn.co/mp3-preview/2318105570df0a039486ba2cd4168b49b058f76a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","USWB10701211","","2026-02-27T15:50:50Z"
"spotify:track:0UFDKFqW2oGspYeYqo9wjA","Bleed It Out","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","spotify:album:2tlTBLz2w52rpGCLBGyGw6","Minutes to Midnight","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","2007-05-14","https://i.scdn.co/image/ab67616d0000b2736e996745f2c7b8036abef213","1","4","164426","https://p.scdn.co/mp3-preview/1440e6e73c1d0f4db4a64175e26ca250097733c8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","USWB10701213","","2026-02-24T12:00:31Z"
